rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
20,angel,1,15,4.117616176605225,False,sampled_upper_bound,20
20,angel,1,30,4.117616176605225,False,sampled_upper_bound,20
20,angel,1,60,2.053164482116699,False,sampled_upper_bound,170
20,angel,1,120,1.9567335844039917,False,sampled_upper_bound,629
20,angel,1,180,0.8298547267913818,False,sampled_upper_bound,1051
20,angel,1,240,0.7654350769853153,True,exact_final,1464
20,angel,2,15,4.085965156555176,False,sampled_upper_bound,55
20,angel,2,30,2.492966651916504,False,sampled_upper_bound,102
20,angel,2,60,2.1879022121429443,False,sampled_upper_bound,200
20,angel,2,120,0.6410266757011414,False,sampled_upper_bound,507
20,angel,2,180,0.5117207169532776,False,sampled_upper_bound,969
20,angel,2,240,0.4788344997191645,True,exact_final,1420
20,angel,3,15,1.3416450023651123,False,sampled_upper_bound,106
20,angel,3,30,0.455685555934906,False,sampled_upper_bound,245
20,angel,3,60,0.3904225528240204,False,sampled_upper_bound,520
20,angel,3,120,0.3790437579154968,False,sampled_upper_bound,1069
20,angel,3,180,0.3790437579154968,False,sampled_upper_bound,1623
20,angel,3,240,0.37805674442385667,True,exact_final,2177
20,angel,4,15,4.215408802032471,False,sampled_upper_bound,109
20,angel,4,30,2.425132989883423,False,sampled_upper_bound,198
20,angel,4,60,0.7463869452476501,False,sampled_upper_bound,441
20,angel,4,120,0.6454173922538757,False,sampled_upper_bound,950
20,angel,4,180,0.48292168974876404,False,sampled_upper_bound,1481
20,angel,4,240,0.4700981829263596,True,exact_final,2020
20,angel,5,15,2.297280788421631,False,sampled_upper_bound,50
20,angel,5,30,2.297280788421631,False,sampled_upper_bound,50
20,angel,5,60,2.297280788421631,False,sampled_upper_bound,50
20,angel,5,120,2.297280788421631,False,sampled_upper_bound,50
20,angel,5,180,2.297280788421631,False,sampled_upper_bound,50
20,angel,5,240,0.8346788900696706,True,exact_final,266
20,angel,6,15,4.08666467666626,False,sampled_upper_bound,9
20,angel,6,30,1.9711103439331055,False,sampled_upper_bound,11
20,angel,6,60,1.1715481281280518,False,sampled_upper_bound,144
20,angel,6,120,0.5430073738098145,False,sampled_upper_bound,670
20,angel,6,180,0.4898206293582916,False,sampled_upper_bound,1216
20,angel,6,240,0.47443394353911744,True,exact_final,1771
20,angel,7,15,3.8949217796325684,False,sampled_upper_bound,42
20,angel,7,30,3.5805511474609375,False,sampled_upper_bound,81
20,angel,7,60,3.354001045227051,False,sampled_upper_bound,200
20,angel,7,120,1.827581524848938,False,sampled_upper_bound,496
20,angel,7,180,1.0153757333755493,False,sampled_upper_bound,890
20,angel,7,240,0.9238272172596075,True,exact_final,1354
20,angel,8,15,2.0731074810028076,False,sampled_upper_bound,38
20,angel,8,30,2.0270280838012695,False,sampled_upper_bound,104
20,angel,8,60,1.3052092790603638,False,sampled_upper_bound,320
20,angel,8,120,1.1391807794570923,False,sampled_upper_bound,764
20,angel,8,180,0.6862598657608032,False,sampled_upper_bound,1184
20,angel,8,240,0.6510462635751167,True,exact_final,1630
20,angel,9,15,4.129355430603027,False,sampled_upper_bound,66
20,angel,9,30,3.9071874618530273,False,sampled_upper_bound,124
20,angel,9,60,0.20102998614311218,False,sampled_upper_bound,379
20,angel,9,120,0.17909333109855652,False,sampled_upper_bound,916
20,angel,9,180,0.1726299524307251,False,sampled_upper_bound,1441
20,angel,9,240,0.16883591226965233,True,exact_final,1976
20,angel,10,15,1.8311101198196411,False,sampled_upper_bound,30
20,angel,10,30,1.807835340499878,False,sampled_upper_bound,125
20,angel,10,60,1.807835340499878,False,sampled_upper_bound,308
20,angel,10,120,0.8693057298660278,False,sampled_upper_bound,717
20,angel,10,180,0.5339853167533875,False,sampled_upper_bound,1241
20,angel,10,240,0.456343775892519,True,exact_final,1755
