rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
13,exirifard,1,15,3.154026746749878,False,sampled_upper_bound,168
13,exirifard,1,30,3.0088677406311035,False,sampled_upper_bound,349
13,exirifard,1,60,1.5729824304580688,False,sampled_upper_bound,679
13,exirifard,1,120,0.6437450647354126,False,sampled_upper_bound,1463
13,exirifard,1,180,0.6066677145791048,True,exact_final_best_already_reached,2295
13,exirifard,1,240,0.6066677145791048,True,exact_final,3252
13,exirifard,2,15,3.0738441944122314,False,sampled_upper_bound,161
13,exirifard,2,30,2.1058743000030518,False,sampled_upper_bound,314
13,exirifard,2,60,0.8522446751594543,False,sampled_upper_bound,623
13,exirifard,2,120,0.48251333832740784,False,sampled_upper_bound,1555
13,exirifard,2,180,0.47921136021614075,False,sampled_upper_bound,2630
13,exirifard,2,240,0.46852209679676576,True,exact_final,3606
13,exirifard,3,15,3.7986323833465576,False,sampled_upper_bound,168
13,exirifard,3,30,2.4657833576202393,False,sampled_upper_bound,326
13,exirifard,3,60,1.9446455240249634,False,sampled_upper_bound,642
13,exirifard,3,120,0.30219557881355286,False,sampled_upper_bound,1401
13,exirifard,3,180,0.2955474257469177,False,sampled_upper_bound,2248
13,exirifard,3,240,0.17367534498649653,True,exact_final,3168
13,exirifard,4,15,3.413747549057007,False,sampled_upper_bound,190
13,exirifard,4,30,1.393906831741333,False,sampled_upper_bound,388
13,exirifard,4,60,0.6014612317085266,False,sampled_upper_bound,806
13,exirifard,4,120,0.415677934885025,False,sampled_upper_bound,1632
13,exirifard,4,180,0.38646435737609863,False,sampled_upper_bound,2665
13,exirifard,4,240,0.28064816099062895,True,exact_final,3607
13,exirifard,5,15,2.8679990768432617,False,sampled_upper_bound,156
13,exirifard,5,30,1.9689350128173828,False,sampled_upper_bound,303
13,exirifard,5,60,1.5757898092269897,False,sampled_upper_bound,575
13,exirifard,5,120,0.9893410801887512,False,sampled_upper_bound,1203
13,exirifard,5,180,0.7698068022727966,False,sampled_upper_bound,2051
13,exirifard,5,240,0.6106094985225431,True,exact_final,2968
13,exirifard,6,15,3.6267409324645996,False,sampled_upper_bound,169
13,exirifard,6,30,3.3511571884155273,False,sampled_upper_bound,282
13,exirifard,6,60,1.7280466556549072,False,sampled_upper_bound,623
13,exirifard,6,120,0.5614177584648132,False,sampled_upper_bound,1347
13,exirifard,6,180,0.4862042963504791,False,sampled_upper_bound,2237
13,exirifard,6,240,0.4248191198578094,True,exact_final,3190
13,exirifard,7,15,4.023139953613281,False,sampled_upper_bound,187
13,exirifard,7,30,2.4287972450256348,False,sampled_upper_bound,336
13,exirifard,7,60,1.9268232583999634,False,sampled_upper_bound,680
13,exirifard,7,120,1.0948896408081055,False,sampled_upper_bound,1598
13,exirifard,7,180,0.8926051259040833,False,sampled_upper_bound,2651
13,exirifard,7,240,0.741134925386832,True,exact_final,3617
13,exirifard,8,15,2.508527994155884,False,sampled_upper_bound,182
13,exirifard,8,30,2.0271968841552734,False,sampled_upper_bound,346
13,exirifard,8,60,0.6310397386550903,False,sampled_upper_bound,697
13,exirifard,8,120,0.2696227431297302,False,sampled_upper_bound,1400
13,exirifard,8,180,0.2394714206457138,False,sampled_upper_bound,2265
13,exirifard,8,240,0.18455987153119377,True,exact_final,3317
13,exirifard,9,15,2.997346878051758,False,sampled_upper_bound,213
13,exirifard,9,30,2.1411359310150146,False,sampled_upper_bound,407
13,exirifard,9,60,1.1088429689407349,False,sampled_upper_bound,914
13,exirifard,9,120,0.5722839832305908,False,sampled_upper_bound,1953
13,exirifard,9,180,0.5053070783615112,False,sampled_upper_bound,3104
13,exirifard,9,240,0.4437255674442788,True,exact_final,4100
13,exirifard,10,15,3.4504244327545166,False,sampled_upper_bound,190
13,exirifard,10,30,3.3203980922698975,False,sampled_upper_bound,342
13,exirifard,10,60,1.835371494293213,False,sampled_upper_bound,702
13,exirifard,10,120,1.4555684328079224,False,sampled_upper_bound,1464
13,exirifard,10,180,0.5066666007041931,False,sampled_upper_bound,2294
13,exirifard,10,240,0.42250336770818103,True,exact_final,3233
