rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
21,jannatsamadov,1,15,1.5532335042953491,False,sampled_upper_bound,55
21,jannatsamadov,1,30,0.7389140725135803,False,sampled_upper_bound,181
21,jannatsamadov,1,60,0.6039839386940002,False,sampled_upper_bound,452
21,jannatsamadov,1,120,0.5517458319664001,False,sampled_upper_bound,958
21,jannatsamadov,1,180,0.4771642985610551,True,exact_final_best_already_reached,1490
21,jannatsamadov,1,240,0.4771642985610551,True,exact_final,2002
21,jannatsamadov,2,15,0.7236284613609314,False,sampled_upper_bound,91
21,jannatsamadov,2,30,0.5533851385116577,False,sampled_upper_bound,226
21,jannatsamadov,2,60,0.53605055809021,False,sampled_upper_bound,494
21,jannatsamadov,2,120,0.4849686920642853,False,sampled_upper_bound,1021
21,jannatsamadov,2,180,0.4172561764717102,False,sampled_upper_bound,1514
21,jannatsamadov,2,240,0.41357219021319697,True,exact_final,1970
21,jannatsamadov,3,15,1.5872817039489746,False,sampled_upper_bound,86
21,jannatsamadov,3,30,1.447331190109253,False,sampled_upper_bound,194
21,jannatsamadov,3,60,1.3425145149230957,False,sampled_upper_bound,417
21,jannatsamadov,3,120,1.097983298669102,True,exact_final_best_already_reached,841
21,jannatsamadov,3,180,1.097983298669102,True,exact_final_best_already_reached,971
21,jannatsamadov,3,240,1.097983298669102,True,exact_final,1360
21,jannatsamadov,4,15,2.2670583724975586,False,sampled_upper_bound,121
21,jannatsamadov,4,30,1.5592889785766602,False,sampled_upper_bound,241
21,jannatsamadov,4,60,1.0432572040608095,True,exact_final_best_already_reached,490
21,jannatsamadov,4,120,1.0432572040608095,True,exact_final_best_already_reached,980
21,jannatsamadov,4,180,1.0432572040608095,True,exact_final_best_already_reached,1502
21,jannatsamadov,4,240,1.0432572040608095,True,exact_final,2033
21,jannatsamadov,5,15,1.6155712604522705,False,sampled_upper_bound,29
21,jannatsamadov,5,30,1.5996679067611694,False,sampled_upper_bound,31
21,jannatsamadov,5,60,0.6350196599960327,False,sampled_upper_bound,204
21,jannatsamadov,5,120,0.45708563406496683,True,exact_final_best_already_reached,703
21,jannatsamadov,5,180,0.45708563406496683,True,exact_final_best_already_reached,1202
21,jannatsamadov,5,240,0.45708563406496683,True,exact_final,1695
21,jannatsamadov,6,15,3.14241623878479,False,sampled_upper_bound,33
21,jannatsamadov,6,30,2.9534196853637695,False,sampled_upper_bound,68
21,jannatsamadov,6,60,2.9534196853637695,False,sampled_upper_bound,138
21,jannatsamadov,6,120,0.41538314724501263,True,exact_final_best_already_reached,536
21,jannatsamadov,6,180,0.41538314724501263,True,exact_final_best_already_reached,1044
21,jannatsamadov,6,240,0.41538314724501263,True,exact_final,1549
21,jannatsamadov,7,15,4.485362529754639,False,sampled_upper_bound,45
21,jannatsamadov,7,30,1.914744257926941,False,sampled_upper_bound,116
21,jannatsamadov,7,60,0.6377846598625183,False,sampled_upper_bound,365
21,jannatsamadov,7,120,0.5341936349868774,False,sampled_upper_bound,880
21,jannatsamadov,7,180,0.35983094573020935,False,sampled_upper_bound,1369
21,jannatsamadov,7,240,0.3132273019375542,True,exact_final,1866
21,jannatsamadov,8,15,1.3609766960144043,False,sampled_upper_bound,82
21,jannatsamadov,8,30,1.3609766960144043,False,sampled_upper_bound,179
21,jannatsamadov,8,60,1.2173739671707153,False,sampled_upper_bound,385
21,jannatsamadov,8,120,1.2173739671707153,False,sampled_upper_bound,814
21,jannatsamadov,8,180,1.2173739671707153,False,sampled_upper_bound,1294
21,jannatsamadov,8,240,0.4340067247033234,True,exact_final,1787
21,jannatsamadov,9,15,3.8314642906188965,False,sampled_upper_bound,67
21,jannatsamadov,9,30,1.9345417022705078,False,sampled_upper_bound,88
21,jannatsamadov,9,60,1.8201879262924194,False,sampled_upper_bound,331
21,jannatsamadov,9,120,1.8038713932037354,False,sampled_upper_bound,832
21,jannatsamadov,9,180,1.7913926839828491,False,sampled_upper_bound,1321
21,jannatsamadov,9,240,0.5040462852833731,True,exact_final,1824
21,jannatsamadov,10,15,2.962094783782959,False,sampled_upper_bound,43
21,jannatsamadov,10,30,2.729243755340576,False,sampled_upper_bound,54
21,jannatsamadov,10,60,1.7844244241714478,False,sampled_upper_bound,218
21,jannatsamadov,10,120,0.5880904197692871,False,sampled_upper_bound,752
21,jannatsamadov,10,180,0.5450916886329651,False,sampled_upper_bound,1282
21,jannatsamadov,10,240,0.531912921553508,True,exact_final,1833
