rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
42,kratos_,1,15,,False,no_sampled_feasible_candidate,0
42,kratos_,1,30,,False,no_sampled_feasible_candidate,0
42,kratos_,1,60,5.1311259269714355,False,sampled_upper_bound,242
42,kratos_,1,120,4.966421127319336,False,sampled_upper_bound,787
42,kratos_,1,180,4.677662476724971,True,exact_final_best_already_reached,1348
42,kratos_,1,240,4.677662476724971,True,exact_final,1625
42,kratos_,2,15,5.7643938064575195,False,sampled_upper_bound,37
42,kratos_,2,30,5.7643938064575195,False,sampled_upper_bound,169
42,kratos_,2,60,5.7643938064575195,False,sampled_upper_bound,434
42,kratos_,2,120,5.7643938064575195,False,sampled_upper_bound,964
42,kratos_,2,180,5.7643938064575195,False,sampled_upper_bound,1989
42,kratos_,2,240,4.972167695008347,True,exact_final,2887
42,kratos_,3,15,5.671765327453613,False,sampled_upper_bound,199
42,kratos_,3,30,5.671765327453613,False,sampled_upper_bound,392
42,kratos_,3,60,5.671765327453613,False,sampled_upper_bound,914
42,kratos_,3,120,5.626152038574219,False,sampled_upper_bound,2136
42,kratos_,3,180,5.3789849281311035,False,sampled_upper_bound,3304
42,kratos_,3,240,4.532265891509029,True,exact_final,4082
42,kratos_,4,15,6.275241851806641,False,sampled_upper_bound,125
42,kratos_,4,30,6.233512878417969,False,sampled_upper_bound,241
42,kratos_,4,60,5.777702331542969,False,sampled_upper_bound,581
42,kratos_,4,120,5.155558109283447,False,sampled_upper_bound,1757
42,kratos_,4,180,4.565561680422129,True,exact_final_best_already_reached,3100
42,kratos_,4,240,4.565561680422129,True,exact_final,4310
42,kratos_,5,15,5.458412170410156,False,sampled_upper_bound,192
42,kratos_,5,30,5.458412170410156,False,sampled_upper_bound,467
42,kratos_,5,60,5.458412170410156,False,sampled_upper_bound,839
42,kratos_,5,120,5.458412170410156,False,sampled_upper_bound,1816
42,kratos_,5,180,4.807201284843802,True,exact_final_best_already_reached,2764
42,kratos_,5,240,4.807201284843802,True,exact_final,4002
42,kratos_,6,15,5.860050678253174,False,sampled_upper_bound,122
42,kratos_,6,30,5.860050678253174,False,sampled_upper_bound,262
42,kratos_,6,60,5.860050678253174,False,sampled_upper_bound,542
42,kratos_,6,120,4.617712051541369,True,exact_final_best_already_reached,1117
42,kratos_,6,180,4.617712051541369,True,exact_final_best_already_reached,1882
42,kratos_,6,240,4.617712051541369,True,exact_final,2393
42,kratos_,7,15,5.862882137298584,False,sampled_upper_bound,90
42,kratos_,7,30,5.531710147857666,False,sampled_upper_bound,268
42,kratos_,7,60,4.779659748077393,False,sampled_upper_bound,746
42,kratos_,7,120,4.779659748077393,False,sampled_upper_bound,1838
42,kratos_,7,180,4.779659748077393,False,sampled_upper_bound,2935
42,kratos_,7,240,4.753807912337511,True,exact_final,3996
42,kratos_,8,15,5.325703144073486,False,sampled_upper_bound,39
42,kratos_,8,30,5.314104080200195,False,sampled_upper_bound,132
42,kratos_,8,60,4.888275623321533,False,sampled_upper_bound,294
42,kratos_,8,120,4.708517333544836,True,exact_final_best_already_reached,852
42,kratos_,8,180,4.708517333544836,True,exact_final_best_already_reached,871
42,kratos_,8,240,4.708517333544836,True,exact_final,872
42,kratos_,9,15,5.497584342956543,False,sampled_upper_bound,129
42,kratos_,9,30,5.497584342956543,False,sampled_upper_bound,248
42,kratos_,9,60,5.497584342956543,False,sampled_upper_bound,532
42,kratos_,9,120,4.588817934414194,True,exact_final_best_already_reached,1099
42,kratos_,9,180,4.588817934414194,True,exact_final_best_already_reached,2157
42,kratos_,9,240,4.588817934414194,True,exact_final,3286
42,kratos_,10,15,,False,no_sampled_feasible_candidate,0
42,kratos_,10,30,5.450345993041992,False,sampled_upper_bound,3
42,kratos_,10,60,5.118158340454102,False,sampled_upper_bound,56
42,kratos_,10,120,5.004121780395508,False,sampled_upper_bound,71
42,kratos_,10,180,4.714679476240209,True,exact_final_best_already_reached,433
42,kratos_,10,240,4.714679476240209,True,exact_final,1536
