rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
32,martianlantern,1,0.33306908763500553,0.33306908763500553,False,70.44319178263346,56186,14400.130326509476,3.901770242771075,50822,0.904531377923326
32,martianlantern,2,1.5690022187339474,1.5690022187339474,False,21.398962450027465,54775,14400.062629699707,3.8038029006226797,2769,0.05055225924235509
32,martianlantern,3,0.6987700468054041,0.6987700468054041,False,217.58746363719305,55434,14400.212338209152,3.849526569334874,38998,0.7035032651441354
32,martianlantern,4,0.43164175758649137,0.43164175758649137,False,185.8576052904129,57785,14400.068918704987,4.012828016742344,48781,0.8441810158345592
32,martianlantern,5,0.4830174534083956,0.4830174534083956,False,99.3884550134341,54090,14400.139129638672,3.756213708287777,37714,0.6972453318543169
32,martianlantern,6,0.4404245320932445,0.4404245320932445,False,205.76537146170935,58451,14400.05831003189,4.0590807857548565,46241,0.7911070811448906
32,martianlantern,7,0.6335788313919777,0.6335788313919777,False,95.74655727942785,55509,14400.17200756073,3.854745621847802,47641,0.8582572195499829
32,martianlantern,8,0.4973880414986466,0.4973880414986466,False,189.8240476846695,54962,14400.080515146255,3.816784214656995,53004,0.964375386630763
32,martianlantern,9,3.913440190345051,3.913440190345051,False,153.5610584894816,58785,14400.144146203995,4.082250802711322,41302,0.7025941992004763
32,martianlantern,10,0.42480185225549155,0.42480185225549155,False,238.47252838214237,58182,14400.2069170475,4.040358609786502,47113,0.8097521570245093
