rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
43,nitizkhanal,1,5.673658890816644,5.673658890816644,False,1.2974528392155966,57792,14400.105084180832,4.013304046196658,16,0.0002768549280177187
43,nitizkhanal,2,5.904559764894231,5.904559764894231,False,1.8324665188789369,56625,14400.05234503746,3.932277372555113,28,0.0004944812362030905
43,nitizkhanal,3,5.1126419673265895,5.1126419673265895,False,2.7699595133463544,56781,14400.247978448868,3.943057097695633,126,0.0022190521477254716
43,nitizkhanal,4,5.555996666988692,5.555996666988692,False,1.3882117033004762,59693,14400.013179063797,4.145343428351007,32,0.0005360762568475365
43,nitizkhanal,5,5.234286693353063,5.234286693353063,False,2.68955074151357,55508,14400.11688041687,3.85469093486921,42,0.0007566476904230021
43,nitizkhanal,6,5.297491998053827,5.297491998053827,False,77.55892997582754,60316,14400.161074876785,4.188564258856118,25,0.00041448371907951457
43,nitizkhanal,7,5.2367700828447585,5.2367700828447585,False,2.72809153397878,56563,14400.006936073303,3.92798421911205,52,0.0009193288899103654
43,nitizkhanal,8,5.634681747930751,5.634681747930751,False,164.50086824099222,56202,14400.167068958282,3.902871385509952,28,0.0004982029109284367
43,nitizkhanal,9,5.129671333413101,5.129671333413101,False,2.745382527510325,60260,14400.040850877762,4.184710350757569,110,0.0018254231662794558
43,nitizkhanal,10,5.354428059664181,5.354428059664181,False,2.7864766836166384,59712,14400.158190727234,4.146621114096555,32,0.0005359056806002144
