rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
41,oneday,1,15,5.210446703734699,True,exact_final_best_already_reached,11
41,oneday,1,30,5.210446703734699,True,exact_final_best_already_reached,11
41,oneday,1,60,5.210446703734699,True,exact_final_best_already_reached,11
41,oneday,1,120,5.210446703734699,True,exact_final_best_already_reached,11
41,oneday,1,180,5.210446703734699,True,exact_final_best_already_reached,11
41,oneday,1,240,5.210446703734699,True,exact_final,11
41,oneday,2,15,4.767820157226429,True,exact_final_best_already_reached,114
41,oneday,2,30,4.767820157226429,True,exact_final_best_already_reached,114
41,oneday,2,60,4.767820157226429,True,exact_final_best_already_reached,114
41,oneday,2,120,4.767820157226429,True,exact_final_best_already_reached,114
41,oneday,2,180,4.767820157226429,True,exact_final_best_already_reached,114
41,oneday,2,240,4.767820157226429,True,exact_final,114
41,oneday,3,15,4.402229706198816,True,exact_final_best_already_reached,36
41,oneday,3,30,4.402229706198816,True,exact_final_best_already_reached,36
41,oneday,3,60,4.402229706198816,True,exact_final_best_already_reached,36
41,oneday,3,120,4.402229706198816,True,exact_final_best_already_reached,36
41,oneday,3,180,4.402229706198816,True,exact_final_best_already_reached,36
41,oneday,3,240,4.402229706198816,True,exact_final,36
41,oneday,4,15,4.475902878906011,True,exact_final_best_already_reached,13
41,oneday,4,30,4.475902878906011,True,exact_final_best_already_reached,13
41,oneday,4,60,4.475902878906011,True,exact_final_best_already_reached,13
41,oneday,4,120,4.475902878906011,True,exact_final_best_already_reached,13
41,oneday,4,180,4.475902878906011,True,exact_final_best_already_reached,13
41,oneday,4,240,4.475902878906011,True,exact_final,13
41,oneday,5,15,4.936710796626853,True,exact_final_best_already_reached,20
41,oneday,5,30,4.936710796626853,True,exact_final_best_already_reached,20
41,oneday,5,60,4.936710796626853,True,exact_final_best_already_reached,20
41,oneday,5,120,4.936710796626853,True,exact_final_best_already_reached,20
41,oneday,5,180,4.936710796626853,True,exact_final_best_already_reached,20
41,oneday,5,240,4.936710796626853,True,exact_final,20
41,oneday,6,15,4.4836292284551975,True,exact_final_best_already_reached,21
41,oneday,6,30,4.4836292284551975,True,exact_final_best_already_reached,21
41,oneday,6,60,4.4836292284551975,True,exact_final_best_already_reached,21
41,oneday,6,120,4.4836292284551975,True,exact_final_best_already_reached,21
41,oneday,6,180,4.4836292284551975,True,exact_final_best_already_reached,21
41,oneday,6,240,4.4836292284551975,True,exact_final,21
41,oneday,7,15,4.459696538809088,True,exact_final_best_already_reached,43
41,oneday,7,30,4.459696538809088,True,exact_final_best_already_reached,43
41,oneday,7,60,4.459696538809088,True,exact_final_best_already_reached,43
41,oneday,7,120,4.459696538809088,True,exact_final_best_already_reached,43
41,oneday,7,180,4.459696538809088,True,exact_final_best_already_reached,43
41,oneday,7,240,4.459696538809088,True,exact_final,43
41,oneday,8,15,4.604633509362939,True,exact_final_best_already_reached,8
41,oneday,8,30,4.604633509362939,True,exact_final_best_already_reached,8
41,oneday,8,60,4.604633509362939,True,exact_final_best_already_reached,8
41,oneday,8,120,4.604633509362939,True,exact_final_best_already_reached,8
41,oneday,8,180,4.604633509362939,True,exact_final_best_already_reached,8
41,oneday,8,240,4.604633509362939,True,exact_final,8
41,oneday,9,15,3.3659541805954407,True,exact_final_best_already_reached,53
41,oneday,9,30,3.3659541805954407,True,exact_final_best_already_reached,53
41,oneday,9,60,3.3659541805954407,True,exact_final_best_already_reached,53
41,oneday,9,120,3.3659541805954407,True,exact_final_best_already_reached,53
41,oneday,9,180,3.3659541805954407,True,exact_final_best_already_reached,53
41,oneday,9,240,3.3659541805954407,True,exact_final,53
41,oneday,10,15,4.317403639690071,True,exact_final_best_already_reached,25
41,oneday,10,30,4.317403639690071,True,exact_final_best_already_reached,25
41,oneday,10,60,4.317403639690071,True,exact_final_best_already_reached,25
41,oneday,10,120,4.317403639690071,True,exact_final_best_already_reached,25
41,oneday,10,180,4.317403639690071,True,exact_final_best_already_reached,25
41,oneday,10,240,4.317403639690071,True,exact_final,25
