rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
41,oneday,1,5.210446703734699,5.210446703734699,False,1.694793689250946,854,174.90312314033508,4.882702976748937,294,0.3442622950819672
41,oneday,2,4.767820157226429,4.767820157226429,False,10.074412687619526,3425,859.4868574142456,3.9849358608042773,2883,0.8417518248175182
41,oneday,3,4.402229706198816,4.402229706198816,False,4.368285580476125,1182,267.64444637298584,4.416306842970244,861,0.7284263959390863
41,oneday,4,4.475902878906011,4.475902878906011,False,1.75139453013738,774,150.7302143573761,5.135002317218715,405,0.5232558139534884
41,oneday,5,4.936710796626853,4.936710796626853,False,1.3088361342748007,855,180.09088015556335,4.7476029839014995,496,0.5801169590643275
41,oneday,6,4.4836292284551975,4.4836292284551975,False,2.6543179829915364,930,189.06878519058228,4.918844742470606,578,0.621505376344086
41,oneday,7,4.459696538809088,4.459696538809088,False,4.4331023295720415,1473,339.6282968521118,4.337094446053784,1071,0.7270875763747454
41,oneday,8,4.604633509362939,4.604633509362939,False,1.5105499704678853,627,114.5721685886383,5.472533231444633,186,0.2966507177033493
41,oneday,9,3.3659541805954407,3.3659541805954407,False,6.5438927213350935,1868,421.3698465824127,4.433160120855138,1369,0.7328693790149893
41,oneday,10,4.317403639690071,4.317403639690071,False,3.287942401568095,1035,211.6008219718933,4.891285347357856,505,0.48792270531400966
