rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
40,pauler,1,4.4369322411420695,4.4369322411420695,False,27.359911636511484,49953,14400.421274900436,3.4688568512274562,37171,0.7441194723039657
40,pauler,2,3.7266821625517963,3.7266821625517963,False,29.13642575740814,51483,14410.029778718948,3.572719889589072,41584,0.807722937668745
40,pauler,3,4.0687090998131294,4.0687090998131294,False,0.04210759401321411,54640,14400.342957735062,3.7943540761750008,48975,0.8963213762811127
40,pauler,4,4.447449334459916,4.447449334459916,False,29.095091064771015,54301,14400.452337265015,3.770784328731235,39932,0.7353824054805621
40,pauler,5,4.142958899728109,4.142958899728109,False,30.46790491739909,50093,14400.132510900497,3.478648544524226,42639,0.8511967740003593
40,pauler,6,4.46009907766212,4.46009907766212,False,85.58873131672541,50781,14400.220527172089,3.5264043286129008,38087,0.7500246155057995
40,pauler,7,4.371456552991335,4.371456552991335,False,46.9523753007253,50133,14400.217092990875,3.481405847999445,41323,0.8242674485867593
40,pauler,8,4.095731049072786,4.095731049072786,False,181.95770483811697,54480,14400.293234825134,3.783256292882119,41738,0.7661160058737151
40,pauler,9,3.2274390175688064,3.2274390175688064,False,48.17279926141103,50514,14400.160054683685,3.5078776769269453,40987,0.8113988201290732
40,pauler,10,3.546312122313663,3.546312122313663,False,60.893053416411085,52353,14400.2736825943,3.6355559035853187,39451,0.7535575802723817
