rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
16,romainm,1,15,1.0774577856063843,False,sampled_upper_bound,184
16,romainm,1,30,1.0543601512908936,False,sampled_upper_bound,405
16,romainm,1,60,1.0543601512908936,False,sampled_upper_bound,882
16,romainm,1,120,0.6633630990982056,False,sampled_upper_bound,1723
16,romainm,1,180,0.4132714295989668,True,exact_final_best_already_reached,2674
16,romainm,1,240,0.4132714295989668,True,exact_final,3540
16,romainm,2,15,1.0048707723617554,False,sampled_upper_bound,162
16,romainm,2,30,0.8902925252914429,False,sampled_upper_bound,363
16,romainm,2,60,0.5165088772773743,False,sampled_upper_bound,793
16,romainm,2,120,0.5165088772773743,False,sampled_upper_bound,1621
16,romainm,2,180,0.5165088772773743,False,sampled_upper_bound,2535
16,romainm,2,240,0.4652680644877324,True,exact_final,3484
16,romainm,3,15,2.1931192874908447,False,sampled_upper_bound,215
16,romainm,3,30,0.46528252959251404,False,sampled_upper_bound,429
16,romainm,3,60,0.4522255063056946,False,sampled_upper_bound,894
16,romainm,3,120,0.4522255063056946,False,sampled_upper_bound,1759
16,romainm,3,180,0.4522255063056946,False,sampled_upper_bound,2620
16,romainm,3,240,0.4421833257410221,True,exact_final,3477
16,romainm,4,15,0.6951084136962891,False,sampled_upper_bound,222
16,romainm,4,30,0.6901699900627136,False,sampled_upper_bound,483
16,romainm,4,60,0.5305654010592964,True,exact_final_best_already_reached,961
16,romainm,4,120,0.5305654010592964,True,exact_final_best_already_reached,1896
16,romainm,4,180,0.5305654010592964,True,exact_final_best_already_reached,2831
16,romainm,4,240,0.5305654010592964,True,exact_final,3800
16,romainm,5,15,1.1542887687683105,False,sampled_upper_bound,163
16,romainm,5,30,1.1542887687683105,False,sampled_upper_bound,323
16,romainm,5,60,0.41119958878334983,True,exact_final_best_already_reached,708
16,romainm,5,120,0.41119958878334983,True,exact_final_best_already_reached,1439
16,romainm,5,180,0.41119958878334983,True,exact_final_best_already_reached,2301
16,romainm,5,240,0.41119958878334983,True,exact_final,2999
16,romainm,6,15,1.515832781791687,False,sampled_upper_bound,197
16,romainm,6,30,0.666609525680542,False,sampled_upper_bound,442
16,romainm,6,60,0.40258968781411214,True,exact_final_best_already_reached,940
16,romainm,6,120,0.40258968781411214,True,exact_final_best_already_reached,1887
16,romainm,6,180,0.40258968781411214,True,exact_final_best_already_reached,2694
16,romainm,6,240,0.40258968781411214,True,exact_final,3602
16,romainm,7,15,0.9963384866714478,False,sampled_upper_bound,158
16,romainm,7,30,0.5949129462242126,False,sampled_upper_bound,358
16,romainm,7,60,0.5949129462242126,False,sampled_upper_bound,782
16,romainm,7,120,0.5949129462242126,False,sampled_upper_bound,1609
16,romainm,7,180,0.5038103370298549,True,exact_final_best_already_reached,2475
16,romainm,7,240,0.5038103370298549,True,exact_final,3325
16,romainm,8,15,0.8822565078735352,False,sampled_upper_bound,176
16,romainm,8,30,0.7945274114608765,False,sampled_upper_bound,381
16,romainm,8,60,0.7475867867469788,False,sampled_upper_bound,758
16,romainm,8,120,0.7475867867469788,False,sampled_upper_bound,1528
16,romainm,8,180,0.4866100549697876,False,sampled_upper_bound,2333
16,romainm,8,240,0.44775989513342096,True,exact_final,3140
16,romainm,9,15,0.5862240195274353,False,sampled_upper_bound,219
16,romainm,9,30,0.5621687769889832,False,sampled_upper_bound,485
16,romainm,9,60,0.5621687769889832,False,sampled_upper_bound,894
16,romainm,9,120,0.4493365848208554,True,exact_final_best_already_reached,1798
16,romainm,9,180,0.4493365848208554,True,exact_final_best_already_reached,2783
16,romainm,9,240,0.4493365848208554,True,exact_final,3688
16,romainm,10,15,0.8229686617851257,False,sampled_upper_bound,219
16,romainm,10,30,0.8101754784584045,False,sampled_upper_bound,435
16,romainm,10,60,0.606095016002655,False,sampled_upper_bound,873
16,romainm,10,120,0.6053341031074524,False,sampled_upper_bound,1808
16,romainm,10,180,0.5334676613819008,True,exact_final_best_already_reached,2613
16,romainm,10,240,0.5334676613819008,True,exact_final,3406
