rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
46,azhang81,1,15,1.2618197202682495,False,sampled_upper_bound,129
46,azhang81,1,30,0.4268791675567627,False,sampled_upper_bound,286
46,azhang81,1,60,0.416000097990036,False,sampled_upper_bound,874
46,azhang81,1,120,0.416000097990036,False,sampled_upper_bound,2078
46,azhang81,1,180,0.4137029124747332,True,exact_final_best_already_reached,3273
46,azhang81,1,240,0.4137029124747332,True,exact_final,4449
46,azhang81,2,15,2.0014560222625732,False,sampled_upper_bound,110
46,azhang81,2,30,1.7985395193099976,False,sampled_upper_bound,145
46,azhang81,2,60,0.8699342608451843,False,sampled_upper_bound,432
46,azhang81,2,120,0.473541270507575,True,exact_final_best_already_reached,1676
46,azhang81,2,180,0.473541270507575,True,exact_final_best_already_reached,2797
46,azhang81,2,240,0.473541270507575,True,exact_final,3939
46,azhang81,3,15,4.033454418182373,False,sampled_upper_bound,96
46,azhang81,3,30,3.8851144313812256,False,sampled_upper_bound,173
46,azhang81,3,60,3.2937064170837402,False,sampled_upper_bound,328
46,azhang81,3,120,2.914268970489502,False,sampled_upper_bound,1275
46,azhang81,3,180,0.8505833745002747,False,sampled_upper_bound,2321
46,azhang81,3,240,0.8034954073437309,True,exact_final,3463
46,azhang81,4,15,4.345798969268799,False,sampled_upper_bound,153
46,azhang81,4,30,2.4327239990234375,False,sampled_upper_bound,256
46,azhang81,4,60,1.5615874528884888,False,sampled_upper_bound,257
46,azhang81,4,120,0.43066051602363586,False,sampled_upper_bound,1227
46,azhang81,4,180,0.42140987515449524,False,sampled_upper_bound,2366
46,azhang81,4,240,0.41871841519172615,True,exact_final,3533
46,azhang81,5,15,4.297414779663086,False,sampled_upper_bound,184
46,azhang81,5,30,4.203728199005127,False,sampled_upper_bound,386
46,azhang81,5,60,4.042531490325928,False,sampled_upper_bound,425
46,azhang81,5,120,1.8744897842407227,False,sampled_upper_bound,430
46,azhang81,5,180,0.4259861707687378,False,sampled_upper_bound,1494
46,azhang81,5,240,0.4228355339932477,True,exact_final,2795
46,azhang81,6,15,2.9337780475616455,False,sampled_upper_bound,126
46,azhang81,6,30,2.2140510082244873,False,sampled_upper_bound,143
46,azhang81,6,60,1.9582798480987549,False,sampled_upper_bound,153
46,azhang81,6,120,0.6360214352607727,False,sampled_upper_bound,315
46,azhang81,6,180,0.4217654815667367,True,exact_final_best_already_reached,1664
46,azhang81,6,240,0.4217654815667367,True,exact_final,2993
46,azhang81,7,15,4.017600059509277,False,sampled_upper_bound,194
46,azhang81,7,30,3.9991605281829834,False,sampled_upper_bound,411
46,azhang81,7,60,3.9869909286499023,False,sampled_upper_bound,881
46,azhang81,7,120,3.985562801361084,False,sampled_upper_bound,1838
46,azhang81,7,180,3.985562801361084,False,sampled_upper_bound,2786
46,azhang81,7,240,3.9819614940727046,True,exact_final,3742
46,azhang81,8,15,2.5594468116760254,False,sampled_upper_bound,161
46,azhang81,8,30,0.8724245429039001,False,sampled_upper_bound,337
46,azhang81,8,60,0.6114852428436279,False,sampled_upper_bound,963
46,azhang81,8,120,0.5517629981040955,False,sampled_upper_bound,2243
46,azhang81,8,180,0.5426248908042908,False,sampled_upper_bound,3519
46,azhang81,8,240,0.5383058196443787,True,exact_final,4789
46,azhang81,9,15,3.688328504562378,False,sampled_upper_bound,93
46,azhang81,9,30,3.688328504562378,False,sampled_upper_bound,166
46,azhang81,9,60,2.5506508350372314,False,sampled_upper_bound,404
46,azhang81,9,120,1.1477015018463135,False,sampled_upper_bound,1559
46,azhang81,9,180,0.8452600836753845,False,sampled_upper_bound,2030
46,azhang81,9,240,0.826482731537973,True,exact_final,2475
46,azhang81,10,15,3.2167246341705322,False,sampled_upper_bound,91
46,azhang81,10,30,1.4642876386642456,False,sampled_upper_bound,101
46,azhang81,10,60,1.051336407661438,False,sampled_upper_bound,271
46,azhang81,10,120,0.431182861328125,False,sampled_upper_bound,1350
46,azhang81,10,180,0.41208916902542114,False,sampled_upper_bound,2562
46,azhang81,10,240,0.3084151405356791,True,exact_final,3724
