rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
52,biszoq,1,15,3.200535535812378,False,sampled_upper_bound,478
52,biszoq,1,30,2.859985828399658,False,sampled_upper_bound,856
52,biszoq,1,60,2.512874126434326,False,sampled_upper_bound,1683
52,biszoq,1,120,2.11686635017395,False,sampled_upper_bound,3311
52,biszoq,1,180,2.048716543483555,True,exact_final_best_already_reached,4792
52,biszoq,1,240,2.048716543483555,True,exact_final,6491
52,biszoq,2,15,3.539644956588745,False,sampled_upper_bound,570
52,biszoq,2,30,3.232450246810913,False,sampled_upper_bound,1333
52,biszoq,2,60,3.004598379135132,False,sampled_upper_bound,2741
52,biszoq,2,120,2.602602005004883,False,sampled_upper_bound,5165
52,biszoq,2,180,1.8040047883987427,False,sampled_upper_bound,6719
52,biszoq,2,240,1.5359724566768898,True,exact_final,6810
52,biszoq,3,15,3.2003893852233887,False,sampled_upper_bound,489
52,biszoq,3,30,2.2507500648498535,False,sampled_upper_bound,988
52,biszoq,3,60,2.1611275672912598,False,sampled_upper_bound,1991
52,biszoq,3,120,2.1127238273620605,False,sampled_upper_bound,3682
52,biszoq,3,180,1.900589942932129,False,sampled_upper_bound,5887
52,biszoq,3,240,1.6986550302060017,True,exact_final,7532
52,biszoq,4,15,3.5256009101867676,False,sampled_upper_bound,610
52,biszoq,4,30,2.8075785636901855,False,sampled_upper_bound,1096
52,biszoq,4,60,2.4987456798553467,False,sampled_upper_bound,1790
52,biszoq,4,120,2.0978291034698486,False,sampled_upper_bound,3079
52,biszoq,4,180,1.975886344909668,False,sampled_upper_bound,4236
52,biszoq,4,240,1.816962310199233,True,exact_final,5341
52,biszoq,5,15,2.9049086570739746,False,sampled_upper_bound,657
52,biszoq,5,30,1.981887936592102,False,sampled_upper_bound,1323
52,biszoq,5,60,1.1886327266693115,False,sampled_upper_bound,2304
52,biszoq,5,120,1.080662488937378,False,sampled_upper_bound,3940
52,biszoq,5,180,0.8347339034080505,False,sampled_upper_bound,5099
52,biszoq,5,240,0.7142607306409074,True,exact_final,6380
52,biszoq,6,15,1.978149652481079,False,sampled_upper_bound,620
52,biszoq,6,30,1.2710745334625244,False,sampled_upper_bound,1088
52,biszoq,6,60,0.9360606074333191,False,sampled_upper_bound,1868
52,biszoq,6,120,0.5646454691886902,False,sampled_upper_bound,4174
52,biszoq,6,180,0.4943181276321411,False,sampled_upper_bound,6779
52,biszoq,6,240,0.44745241736328484,True,exact_final,9429
52,biszoq,7,15,0.8756451606750488,False,sampled_upper_bound,617
52,biszoq,7,30,0.5876709818840027,False,sampled_upper_bound,1474
52,biszoq,7,60,0.48785117268562317,False,sampled_upper_bound,3277
52,biszoq,7,120,0.42338570952415466,False,sampled_upper_bound,6826
52,biszoq,7,180,0.4104154109954834,False,sampled_upper_bound,10438
52,biszoq,7,240,0.4092486123171406,True,exact_final,14086
52,biszoq,8,15,3.426002264022827,False,sampled_upper_bound,503
52,biszoq,8,30,3.0387792587280273,False,sampled_upper_bound,993
52,biszoq,8,60,2.7191922664642334,False,sampled_upper_bound,2053
52,biszoq,8,120,2.3733630180358887,False,sampled_upper_bound,4431
52,biszoq,8,180,2.2323901653289795,False,sampled_upper_bound,7015
52,biszoq,8,240,2.1462912167800194,True,exact_final,9519
52,biszoq,9,15,3.5457146167755127,False,sampled_upper_bound,579
52,biszoq,9,30,3.460062026977539,False,sampled_upper_bound,1016
52,biszoq,9,60,3.03261661529541,False,sampled_upper_bound,2033
52,biszoq,9,120,2.7970356941223145,False,sampled_upper_bound,3501
52,biszoq,9,180,2.6442055702209473,False,sampled_upper_bound,4872
52,biszoq,9,240,2.4932603093618146,True,exact_final,6228
52,biszoq,10,15,3.0196337699890137,False,sampled_upper_bound,544
52,biszoq,10,30,2.629277467727661,False,sampled_upper_bound,1172
52,biszoq,10,60,2.0984947681427,False,sampled_upper_bound,2382
52,biszoq,10,120,1.9194895029067993,False,sampled_upper_bound,4761
52,biszoq,10,180,1.6110825538635254,False,sampled_upper_bound,6916
52,biszoq,10,240,1.5528140910396906,True,exact_final,9094
