rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
16,chengwei_chu,1,15,0.44215086102485657,False,sampled_upper_bound,671
16,chengwei_chu,1,30,0.42922279238700867,False,sampled_upper_bound,1505
16,chengwei_chu,1,60,0.42331361770629883,False,sampled_upper_bound,3160
16,chengwei_chu,1,120,0.42185187339782715,False,sampled_upper_bound,6491
16,chengwei_chu,1,180,0.4200040102005005,False,sampled_upper_bound,9870
16,chengwei_chu,1,240,0.4193406365357216,True,exact_final,13229
16,chengwei_chu,2,15,0.12101086974143982,False,sampled_upper_bound,729
16,chengwei_chu,2,30,-0.039292432367801666,False,sampled_upper_bound,1539
16,chengwei_chu,2,60,-0.09995391964912415,False,sampled_upper_bound,3207
16,chengwei_chu,2,120,-0.20464321970939636,False,sampled_upper_bound,6681
16,chengwei_chu,2,180,-0.22827664017677307,False,sampled_upper_bound,10256
16,chengwei_chu,2,240,-0.23775168827615453,True,exact_final,13868
16,chengwei_chu,3,15,0.4546237885951996,False,sampled_upper_bound,670
16,chengwei_chu,3,30,0.4546237885951996,False,sampled_upper_bound,1446
16,chengwei_chu,3,60,0.4546237885951996,False,sampled_upper_bound,2994
16,chengwei_chu,3,120,0.4546237885951996,False,sampled_upper_bound,6126
16,chengwei_chu,3,180,0.4256833791732788,False,sampled_upper_bound,9330
16,chengwei_chu,3,240,0.42275306347960045,True,exact_final,12429
16,chengwei_chu,4,15,0.47197866439819336,False,sampled_upper_bound,835
16,chengwei_chu,4,30,0.47197866439819336,False,sampled_upper_bound,1812
16,chengwei_chu,4,60,0.47197866439819336,False,sampled_upper_bound,3783
16,chengwei_chu,4,120,0.42874544858932495,False,sampled_upper_bound,7713
16,chengwei_chu,4,180,0.3154206871986389,False,sampled_upper_bound,11561
16,chengwei_chu,4,240,0.2819913703831534,True,exact_final,15368
16,chengwei_chu,5,15,0.5017573833465576,False,sampled_upper_bound,847
16,chengwei_chu,5,30,0.46052873134613037,False,sampled_upper_bound,1846
16,chengwei_chu,5,60,0.46052873134613037,False,sampled_upper_bound,3878
16,chengwei_chu,5,120,0.43472257256507874,False,sampled_upper_bound,7980
16,chengwei_chu,5,180,0.4228714406490326,False,sampled_upper_bound,12086
16,chengwei_chu,5,240,0.4215786108240673,True,exact_final,16189
16,chengwei_chu,6,15,-0.2096494883298874,False,sampled_upper_bound,782
16,chengwei_chu,6,30,-0.2096494883298874,False,sampled_upper_bound,1706
16,chengwei_chu,6,60,-0.2096494883298874,False,sampled_upper_bound,3592
16,chengwei_chu,6,120,-0.2096494883298874,False,sampled_upper_bound,7390
16,chengwei_chu,6,180,-0.3306480348110199,False,sampled_upper_bound,11157
16,chengwei_chu,6,240,-0.42336395217821277,True,exact_final,14862
16,chengwei_chu,7,15,0.7254787683486938,False,sampled_upper_bound,824
16,chengwei_chu,7,30,0.7254787683486938,False,sampled_upper_bound,1800
16,chengwei_chu,7,60,0.7162560224533081,False,sampled_upper_bound,3730
16,chengwei_chu,7,120,0.6843884587287903,False,sampled_upper_bound,7604
16,chengwei_chu,7,180,0.662304162979126,False,sampled_upper_bound,11554
16,chengwei_chu,7,240,0.6523695313262374,True,exact_final,15552
16,chengwei_chu,8,15,0.4487212002277374,False,sampled_upper_bound,716
16,chengwei_chu,8,30,0.4484385848045349,False,sampled_upper_bound,1555
16,chengwei_chu,8,60,0.4455930292606354,False,sampled_upper_bound,3231
16,chengwei_chu,8,120,0.44105222821235657,False,sampled_upper_bound,6636
16,chengwei_chu,8,180,0.4339638352394104,False,sampled_upper_bound,10051
16,chengwei_chu,8,240,0.4303692344601733,True,exact_final,13502
16,chengwei_chu,9,15,0.7189866900444031,False,sampled_upper_bound,499
16,chengwei_chu,9,30,0.6604938507080078,False,sampled_upper_bound,1046
16,chengwei_chu,9,60,0.5420635938644409,False,sampled_upper_bound,2850
16,chengwei_chu,9,120,0.4273954927921295,False,sampled_upper_bound,6442
16,chengwei_chu,9,180,0.42046865820884705,False,sampled_upper_bound,10005
16,chengwei_chu,9,240,0.4152408761903401,True,exact_final,13565
16,chengwei_chu,10,15,0.3588145077228546,False,sampled_upper_bound,751
16,chengwei_chu,10,30,0.3501603305339813,False,sampled_upper_bound,1663
16,chengwei_chu,10,60,0.30256929993629456,False,sampled_upper_bound,3475
16,chengwei_chu,10,120,0.2667277753353119,False,sampled_upper_bound,7134
16,chengwei_chu,10,180,0.25048550963401794,False,sampled_upper_bound,10807
16,chengwei_chu,10,240,0.2373414933365667,True,exact_final,14455
