rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
17,ksj03,1,0.42220495688291104,0.42220495688291104,False,236.19490840832393,119193,14400.03687286377,8.277270471759271,100278,0.8413077949208426
17,ksj03,2,0.4074747782403436,0.4074747782403436,False,239.98827556769052,120195,14400.103552818298,8.34681497665176,104734,0.8713673613711053
17,ksj03,3,0.3528514047553601,0.3528514047553601,False,239.65131276051204,120098,14400.00368309021,8.34013675573083,104169,0.8673666505687022
17,ksj03,4,-0.01564264226074224,-0.01564264226074224,False,239.45596933762232,132006,14400.234526872635,9.166934035252018,115221,0.8728466887868733
17,ksj03,5,0.4116613705347199,0.4116613705347199,False,239.82125585873922,141293,14400.191011190414,9.81188373752827,88539,0.6266340158394259
17,ksj03,6,-0.07081900007108534,-0.07081900007108534,False,239.81300585667293,132893,14400.186236858368,9.228561201510734,114801,0.8638603989675905
17,ksj03,7,0.448050763514841,0.448050763514841,False,239.30005925099056,134529,14400.132755041122,9.342205539938846,116355,0.8649064513970965
17,ksj03,8,0.17978230715925492,0.17978230715925492,False,239.74274597962696,121551,14400.15205359459,8.440952536307298,103876,0.8545877861967405
17,ksj03,9,0.22547003619679398,0.22547003619679398,False,239.99944529136022,124235,14400.233023405075,8.627290947172703,109612,0.8822956493741699
17,ksj03,10,0.3583485627445894,0.3583485627445894,False,232.73077957232792,121103,14400.023012399673,8.40991711580737,97494,0.8050502464843976
