rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
12,matevz,1,15,0.24653324484825134,False,sampled_upper_bound,652
12,matevz,1,30,0.24653324484825134,False,sampled_upper_bound,1340
12,matevz,1,60,0.24653324484825134,False,sampled_upper_bound,2719
12,matevz,1,120,0.24653324484825134,False,sampled_upper_bound,5423
12,matevz,1,180,0.24200507998466492,False,sampled_upper_bound,8143
12,matevz,1,240,0.17377399061243964,True,exact_final,10810
12,matevz,2,15,-0.18996596336364746,False,sampled_upper_bound,655
12,matevz,2,30,-0.20532503724098206,False,sampled_upper_bound,1359
12,matevz,2,60,-0.2114378660917282,False,sampled_upper_bound,2715
12,matevz,2,120,-0.21583914756774902,False,sampled_upper_bound,5502
12,matevz,2,180,-0.21583914756774902,False,sampled_upper_bound,8260
12,matevz,2,240,-0.2611124464973107,True,exact_final,10966
12,matevz,3,15,0.41952767968177795,False,sampled_upper_bound,701
12,matevz,3,30,0.3503914773464203,False,sampled_upper_bound,1444
12,matevz,3,60,0.32335448265075684,False,sampled_upper_bound,2896
12,matevz,3,120,0.23016569018363953,False,sampled_upper_bound,5825
12,matevz,3,180,0.22859936952590942,False,sampled_upper_bound,8729
12,matevz,3,240,0.21969523839550406,True,exact_final,11669
12,matevz,4,15,0.36860570311546326,False,sampled_upper_bound,765
12,matevz,4,30,0.3664471507072449,False,sampled_upper_bound,1491
12,matevz,4,60,0.3664471507072449,False,sampled_upper_bound,2994
12,matevz,4,120,0.36565500497817993,False,sampled_upper_bound,5976
12,matevz,4,180,0.36565500497817993,False,sampled_upper_bound,8953
12,matevz,4,240,0.3209856516686181,True,exact_final,11979
12,matevz,5,15,0.37393274903297424,False,sampled_upper_bound,840
12,matevz,5,30,0.3688182532787323,False,sampled_upper_bound,1679
12,matevz,5,60,0.36639291048049927,False,sampled_upper_bound,3372
12,matevz,5,120,0.3660409152507782,False,sampled_upper_bound,6771
12,matevz,5,180,0.3652341067790985,False,sampled_upper_bound,10214
12,matevz,5,240,0.360756282549806,True,exact_final,13599
12,matevz,6,15,0.4693884551525116,False,sampled_upper_bound,636
12,matevz,6,30,0.4157612919807434,False,sampled_upper_bound,1185
12,matevz,6,60,0.41260966658592224,False,sampled_upper_bound,2357
12,matevz,6,120,0.41260966658592224,False,sampled_upper_bound,4753
12,matevz,6,180,0.4116723835468292,False,sampled_upper_bound,7250
12,matevz,6,240,0.40323232472868215,True,exact_final,9831
12,matevz,7,15,0.4394150376319885,False,sampled_upper_bound,746
12,matevz,7,30,0.3641163110733032,False,sampled_upper_bound,1450
12,matevz,7,60,0.2794337868690491,False,sampled_upper_bound,2841
12,matevz,7,120,0.2005397081375122,False,sampled_upper_bound,5660
12,matevz,7,180,0.1970108449459076,False,sampled_upper_bound,8503
12,matevz,7,240,0.177096470494133,True,exact_final,11213
12,matevz,8,15,0.438534140586853,False,sampled_upper_bound,621
12,matevz,8,30,0.4320094883441925,False,sampled_upper_bound,1303
12,matevz,8,60,0.43183910846710205,False,sampled_upper_bound,2645
12,matevz,8,120,0.4296894073486328,False,sampled_upper_bound,5278
12,matevz,8,180,0.42937424778938293,False,sampled_upper_bound,7899
12,matevz,8,240,0.4247043365777688,True,exact_final,10551
12,matevz,9,15,0.3662634491920471,False,sampled_upper_bound,750
12,matevz,9,30,0.35292181372642517,False,sampled_upper_bound,1484
12,matevz,9,60,0.3476272225379944,False,sampled_upper_bound,3012
12,matevz,9,120,0.34305089712142944,False,sampled_upper_bound,5989
12,matevz,9,180,0.02819589339196682,False,sampled_upper_bound,8969
12,matevz,9,240,-0.02719089502355476,True,exact_final,11838
12,matevz,10,15,0.47932589054107666,False,sampled_upper_bound,444
12,matevz,10,30,0.47932589054107666,False,sampled_upper_bound,888
12,matevz,10,60,0.47932589054107666,False,sampled_upper_bound,1882
12,matevz,10,120,0.39359667897224426,False,sampled_upper_bound,4505
12,matevz,10,180,0.39359667897224426,False,sampled_upper_bound,7277
12,matevz,10,240,0.3675800177838382,True,exact_final,10036
