rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
56,riskywindow,1,15,3.6041159629821777,False,sampled_upper_bound,201
56,riskywindow,1,30,3.493595838546753,False,sampled_upper_bound,411
56,riskywindow,1,60,2.5480434894561768,False,sampled_upper_bound,761
56,riskywindow,1,120,2.4069132804870605,False,sampled_upper_bound,1487
56,riskywindow,1,180,2.4069132804870605,False,sampled_upper_bound,2137
56,riskywindow,1,240,2.3801036612479787,True,exact_final,2838
56,riskywindow,2,15,4.442938327789307,False,sampled_upper_bound,190
56,riskywindow,2,30,4.375019073486328,False,sampled_upper_bound,358
56,riskywindow,2,60,2.803326368331909,False,sampled_upper_bound,727
56,riskywindow,2,120,2.6908953189849854,False,sampled_upper_bound,1540
56,riskywindow,2,180,2.3991689682006836,False,sampled_upper_bound,2281
56,riskywindow,2,240,2.2463922198037287,True,exact_final,3066
56,riskywindow,3,15,4.447648525238037,False,sampled_upper_bound,183
56,riskywindow,3,30,4.434086799621582,False,sampled_upper_bound,364
56,riskywindow,3,60,2.972435235977173,False,sampled_upper_bound,739
56,riskywindow,3,120,2.899463415145874,False,sampled_upper_bound,1487
56,riskywindow,3,180,2.683290094238006,True,exact_final_best_already_reached,2263
56,riskywindow,3,240,2.683290094238006,True,exact_final,2998
56,riskywindow,4,15,3.285007953643799,False,sampled_upper_bound,182
56,riskywindow,4,30,3.285007953643799,False,sampled_upper_bound,367
56,riskywindow,4,60,3.008143784097407,True,exact_final_best_already_reached,768
56,riskywindow,4,120,3.008143784097407,True,exact_final_best_already_reached,1557
56,riskywindow,4,180,3.008143784097407,True,exact_final_best_already_reached,2336
56,riskywindow,4,240,3.008143784097407,True,exact_final,3162
56,riskywindow,5,15,4.345644950866699,False,sampled_upper_bound,211
56,riskywindow,5,30,3.9575893878936768,False,sampled_upper_bound,397
56,riskywindow,5,60,3.9575893878936768,False,sampled_upper_bound,801
56,riskywindow,5,120,3.9575893878936768,False,sampled_upper_bound,1625
56,riskywindow,5,180,3.9575893878936768,False,sampled_upper_bound,2429
56,riskywindow,5,240,2.872507586535553,True,exact_final,3283
56,riskywindow,6,15,3.061443567276001,False,sampled_upper_bound,219
56,riskywindow,6,30,2.8890581130981445,False,sampled_upper_bound,443
56,riskywindow,6,60,2.7217957973480225,False,sampled_upper_bound,943
56,riskywindow,6,120,2.637241820459826,True,exact_final_best_already_reached,1913
56,riskywindow,6,180,2.637241820459826,True,exact_final_best_already_reached,2850
56,riskywindow,6,240,2.637241820459826,True,exact_final,3789
56,riskywindow,7,15,3.2437267303466797,False,sampled_upper_bound,215
56,riskywindow,7,30,3.2437267303466797,False,sampled_upper_bound,420
56,riskywindow,7,60,3.2437267303466797,False,sampled_upper_bound,837
56,riskywindow,7,120,3.178494930267334,False,sampled_upper_bound,1723
56,riskywindow,7,180,3.157118320465088,False,sampled_upper_bound,2601
56,riskywindow,7,240,2.891033294611863,True,exact_final,3472
56,riskywindow,8,15,3.582216501235962,False,sampled_upper_bound,179
56,riskywindow,8,30,2.9650213718414307,False,sampled_upper_bound,363
56,riskywindow,8,60,2.9650213718414307,False,sampled_upper_bound,735
56,riskywindow,8,120,2.9413340091705322,False,sampled_upper_bound,1482
56,riskywindow,8,180,2.9241672783991124,True,exact_final_best_already_reached,2241
56,riskywindow,8,240,2.9241672783991124,True,exact_final,2991
56,riskywindow,9,15,4.359045505523682,False,sampled_upper_bound,190
56,riskywindow,9,30,4.359045505523682,False,sampled_upper_bound,368
56,riskywindow,9,60,3.5458083152770996,False,sampled_upper_bound,747
56,riskywindow,9,120,3.161454916000366,False,sampled_upper_bound,1529
56,riskywindow,9,180,3.1244571208953857,False,sampled_upper_bound,2250
56,riskywindow,9,240,2.5954961250376223,True,exact_final,2974
56,riskywindow,10,15,3.477458953857422,False,sampled_upper_bound,209
56,riskywindow,10,30,3.472736120223999,False,sampled_upper_bound,416
56,riskywindow,10,60,3.3959696292877197,False,sampled_upper_bound,771
56,riskywindow,10,120,3.393492100642334,True,exact_final_best_already_reached,1548
56,riskywindow,10,180,3.393492100642334,True,exact_final_best_already_reached,2335
56,riskywindow,10,240,3.393492100642334,True,exact_final,3110
