rank,participant_id,run_number,elapsed_minutes,best_feasible_loss,is_exact,status,feasible_samples_considered
59,turabusmani,1,15,5.0397796630859375,False,sampled_upper_bound,35
59,turabusmani,1,30,4.78863525390625,False,sampled_upper_bound,155
59,turabusmani,1,60,4.488691329956055,False,sampled_upper_bound,333
59,turabusmani,1,120,4.022674083709717,False,sampled_upper_bound,808
59,turabusmani,1,180,4.022674083709717,False,sampled_upper_bound,3248
59,turabusmani,1,240,3.1664206152251175,True,exact_final,3870
59,turabusmani,2,15,5.046878814697266,False,sampled_upper_bound,96
59,turabusmani,2,30,4.529758453369141,False,sampled_upper_bound,341
59,turabusmani,2,60,4.0534491539001465,False,sampled_upper_bound,804
59,turabusmani,2,120,3.681825853235145,True,exact_final_best_already_reached,1769
59,turabusmani,2,180,3.681825853235145,True,exact_final_best_already_reached,4051
59,turabusmani,2,240,3.681825853235145,True,exact_final,4643
59,turabusmani,3,15,5.11340856552124,False,sampled_upper_bound,118
59,turabusmani,3,30,4.673574447631836,False,sampled_upper_bound,282
59,turabusmani,3,60,3.9981563091278076,False,sampled_upper_bound,597
59,turabusmani,3,120,3.7580667128514005,True,exact_final_best_already_reached,1149
59,turabusmani,3,180,3.7580667128514005,True,exact_final_best_already_reached,3404
59,turabusmani,3,240,3.7580667128514005,True,exact_final,3984
59,turabusmani,4,15,6.102828025817871,False,sampled_upper_bound,14
59,turabusmani,4,30,5.106051445007324,False,sampled_upper_bound,49
59,turabusmani,4,60,4.457761423994684,True,exact_final_best_already_reached,155
59,turabusmani,4,120,4.457761423994684,True,exact_final_best_already_reached,271
59,turabusmani,4,180,4.457761423994684,True,exact_final_best_already_reached,2454
59,turabusmani,4,240,4.457761423994684,True,exact_final,2969
59,turabusmani,5,15,18.594482421875,False,sampled_upper_bound,3
59,turabusmani,5,30,18.594482421875,False,sampled_upper_bound,3
59,turabusmani,5,60,18.594482421875,False,sampled_upper_bound,3
59,turabusmani,5,120,18.594482421875,False,sampled_upper_bound,3
59,turabusmani,5,180,4.791783809661865,False,sampled_upper_bound,3003
59,turabusmani,5,240,4.068683650754785,True,exact_final,3770
59,turabusmani,6,15,7.109414577484131,False,sampled_upper_bound,3
59,turabusmani,6,30,4.565826892852783,False,sampled_upper_bound,4
59,turabusmani,6,60,4.565826892852783,False,sampled_upper_bound,5
59,turabusmani,6,120,4.565826892852783,False,sampled_upper_bound,5
59,turabusmani,6,180,4.565826892852783,False,sampled_upper_bound,2771
59,turabusmani,6,240,4.150739211334396,True,exact_final,3349
59,turabusmani,7,15,5.089048862457275,False,sampled_upper_bound,187
59,turabusmani,7,30,4.798121452331543,False,sampled_upper_bound,373
59,turabusmani,7,60,4.670914173126221,False,sampled_upper_bound,767
59,turabusmani,7,120,4.584306240081787,False,sampled_upper_bound,1746
59,turabusmani,7,180,4.584306240081787,False,sampled_upper_bound,4668
59,turabusmani,7,240,3.869253936639136,True,exact_final,5483
59,turabusmani,8,15,5.532924175262451,False,sampled_upper_bound,30
59,turabusmani,8,30,5.532924175262451,False,sampled_upper_bound,39
59,turabusmani,8,60,4.628751277923584,False,sampled_upper_bound,103
59,turabusmani,8,120,3.6742049620913417,True,exact_final_best_already_reached,726
59,turabusmani,8,180,3.6742049620913417,True,exact_final_best_already_reached,2741
59,turabusmani,8,240,3.6742049620913417,True,exact_final,3358
59,turabusmani,9,15,5.505791187286377,False,sampled_upper_bound,27
59,turabusmani,9,30,5.156388282775879,False,sampled_upper_bound,77
59,turabusmani,9,60,4.643028259277344,False,sampled_upper_bound,247
59,turabusmani,9,120,3.935910771760102,True,exact_final_best_already_reached,574
59,turabusmani,9,180,3.935910771760102,True,exact_final_best_already_reached,2491
59,turabusmani,9,240,3.935910771760102,True,exact_final,3085
59,turabusmani,10,15,5.591152191162109,False,sampled_upper_bound,42
59,turabusmani,10,30,4.881314277648926,False,sampled_upper_bound,85
59,turabusmani,10,60,4.546001434326172,False,sampled_upper_bound,405
59,turabusmani,10,120,3.989213337059646,True,exact_final_best_already_reached,1426
59,turabusmani,10,180,3.989213337059646,True,exact_final_best_already_reached,3810
59,turabusmani,10,240,3.989213337059646,True,exact_final,4479
